,Power
2018-06-04 09:15:00,76.61
2018-06-04 09:30:00,74.48
2018-06-04 09:45:00,76.0
2018-06-04 10:00:00,74.88
2018-06-04 10:15:00,76.82
2018-06-04 10:30:00,83.74
2018-06-04 10:45:00,88.85
2018-06-04 11:00:00,85.75
2018-06-04 11:15:00,87.59
2018-06-04 11:30:00,86.72
2018-06-04 11:45:00,84.56
2018-06-04 12:00:00,85.68
2018-06-04 12:15:00,86.69
2018-06-04 12:30:00,86.36
2018-06-04 12:45:00,85.57
2018-06-04 13:00:00,86.62
2018-06-04 13:15:00,86.4
2018-06-04 13:30:00,85.79
2018-06-04 13:45:00,84.64
2018-06-04 14:00:00,84.85
2018-06-04 14:15:00,87.59
2018-06-04 14:30:00,85.32
2018-06-04 14:45:00,86.15
2018-06-04 15:00:00,86.0
2018-06-04 15:15:00,77.18
2018-06-04 15:30:00,75.42
2018-06-04 15:45:00,75.67
2018-06-04 16:00:00,74.27
2018-06-04 16:15:00,76.79
2018-06-04 16:30:00,76.57
2018-06-04 16:45:00,77.11
2018-06-04 17:00:00,77.04
2018-06-04 17:15:00,77.22
2018-06-04 17:30:00,79.27
2018-06-04 17:45:00,78.16
2018-06-04 18:00:00,77.08
2018-06-04 18:15:00,78.59
2018-06-04 18:30:00,76.14
2018-06-04 18:45:00,75.82
2018-06-04 19:00:00,74.38
2018-06-04 19:15:00,73.94
2018-06-04 19:30:00,75.53
2018-06-04 19:45:00,75.42
2018-06-04 20:00:00,72.58
2018-06-04 20:15:00,73.08
2018-06-04 20:30:00,73.33
2018-06-04 20:45:00,73.76
2018-06-04 21:00:00,72.97
2018-06-04 21:15:00,74.41
2018-06-04 21:30:00,71.96
2018-06-04 21:45:00,70.38
2018-06-04 22:00:00,71.39
2018-06-04 22:15:00,73.33
2018-06-04 22:30:00,71.96
2018-06-04 22:45:00,70.49
2018-06-04 23:00:00,72.22
2018-06-04 23:15:00,71.35
2018-06-04 23:30:00,71.57
2018-06-04 23:45:00,72.07
2018-06-05 00:00:00,71.5
2018-06-05 00:15:00,71.82
2018-06-05 00:30:00,69.77
2018-06-05 00:45:00,69.88
2018-06-05 01:00:00,72.0
2018-06-05 01:15:00,70.27
2018-06-05 01:30:00,70.2
2018-06-05 01:45:00,70.13
2018-06-05 02:00:00,70.92
2018-06-05 02:15:00,72.4
2018-06-05 02:30:00,70.06
2018-06-05 02:45:00,69.66
2018-06-05 03:00:00,70.45
2018-06-05 03:15:00,70.63
2018-06-05 03:30:00,72.72
2018-06-05 03:45:00,69.37
2018-06-05 04:00:00,70.2
2018-06-05 04:15:00,70.34
2018-06-05 04:30:00,69.66
2018-06-05 04:45:00,72.47
2018-06-05 05:00:00,70.42
2018-06-05 05:15:00,69.73
2018-06-05 05:30:00,69.84
2018-06-05 05:45:00,70.09
2018-06-05 06:00:00,71.35
2018-06-05 06:15:00,72.47
2018-06-05 06:30:00,70.96
2018-06-05 06:45:00,72.76
2018-06-05 07:00:00,72.58
2018-06-05 07:15:00,71.89
2018-06-05 07:30:00,75.82
2018-06-05 07:45:00,73.3
2018-06-05 08:00:00,73.69
2018-06-05 08:15:00,76.03
2018-06-05 08:30:00,74.02
2018-06-05 08:45:00,78.05
2018-06-05 09:00:00,77.44
2018-06-05 09:15:00,76.93
2018-06-05 09:30:00,75.78
2018-06-05 09:45:00,74.38
2018-06-05 10:00:00,83.66
2018-06-05 10:15:00,87.91
2018-06-05 10:30:00,88.85
2018-06-05 10:45:00,84.85
2018-06-05 11:00:00,87.3
2018-06-05 11:15:00,86.0
2018-06-05 11:30:00,86.11
2018-06-05 11:45:00,86.0
2018-06-05 12:00:00,87.91
2018-06-05 12:15:00,86.0
2018-06-05 12:30:00,87.23
2018-06-05 12:45:00,87.08
2018-06-05 13:00:00,91.22
2018-06-05 13:15:00,90.83
2018-06-05 13:30:00,88.52
2018-06-05 13:45:00,89.53
2018-06-05 14:00:00,89.14
2018-06-05 14:15:00,88.02
2018-06-05 14:30:00,87.73
2018-06-05 14:45:00,88.81
2018-06-05 15:00:00,86.54
2018-06-05 15:15:00,87.05
2018-06-05 15:30:00,88.67
2018-06-05 15:45:00,88.31
2018-06-05 16:00:00,86.47
2018-06-05 16:15:00,77.72
2018-06-05 16:30:00,75.71
2018-06-05 16:45:00,75.46
2018-06-05 17:00:00,76.57
2018-06-05 17:15:00,76.5
2018-06-05 17:30:00,76.82
2018-06-05 17:45:00,77.47
2018-06-05 18:00:00,77.4
2018-06-05 18:15:00,77.76
2018-06-05 18:30:00,74.99
2018-06-05 18:45:00,75.06
2018-06-05 19:00:00,75.28
2018-06-05 19:15:00,75.06
2018-06-05 19:30:00,75.67
2018-06-05 19:45:00,75.24
2018-06-05 20:00:00,74.7
2018-06-05 20:15:00,74.09
2018-06-05 20:30:00,74.66
2018-06-05 20:45:00,73.76
2018-06-05 21:00:00,74.12
2018-06-05 21:15:00,73.8
2018-06-05 21:30:00,74.52
2018-06-05 21:45:00,74.05
2018-06-05 22:00:00,73.76
2018-06-05 22:15:00,73.76
2018-06-05 22:30:00,73.69
2018-06-05 22:45:00,74.02
2018-06-05 23:00:00,72.4
2018-06-05 23:15:00,71.14
2018-06-05 23:30:00,71.75
2018-06-05 23:45:00,73.4
2018-06-06 00:00:00,73.19
2018-06-06 00:15:00,72.58
2018-06-06 00:30:00,71.1
2018-06-06 00:45:00,71.82
2018-06-06 01:00:00,72.76
2018-06-06 01:15:00,73.19
2018-06-06 01:30:00,72.54
2018-06-06 01:45:00,71.35
2018-06-06 02:00:00,70.78
2018-06-06 02:15:00,71.21
2018-06-06 02:30:00,72.79
2018-06-06 02:45:00,72.18
2018-06-06 03:00:00,70.38
2018-06-06 03:15:00,70.92
2018-06-06 03:30:00,72.18
2018-06-06 03:45:00,72.4
2018-06-06 04:00:00,71.57
2018-06-06 04:15:00,71.03
2018-06-06 04:30:00,70.38
2018-06-06 04:45:00,72.36
2018-06-06 05:00:00,71.46
2018-06-06 05:15:00,70.6
2018-06-06 05:30:00,70.49
2018-06-06 05:45:00,71.68
2018-06-06 06:00:00,72.25
2018-06-06 06:15:00,71.82
2018-06-06 06:30:00,71.17
2018-06-06 06:45:00,71.86
2018-06-06 07:00:00,72.22
2018-06-06 07:15:00,72.25
2018-06-06 07:30:00,72.86
2018-06-06 07:45:00,72.04
2018-06-06 08:00:00,72.58
2018-06-06 08:15:00,72.32
2018-06-06 08:30:00,74.02
2018-06-06 08:45:00,78.37
2018-06-06 09:00:00,82.98
2018-06-06 09:15:00,83.3
2018-06-06 09:30:00,84.1
2018-06-06 09:45:00,82.22
2018-06-06 10:00:00,81.94
2018-06-06 10:15:00,82.66
2018-06-06 10:30:00,83.27
2018-06-06 10:45:00,82.48
2018-06-06 11:00:00,81.18
2018-06-06 11:15:00,81.65
2018-06-06 11:30:00,82.3
2018-06-06 11:45:00,81.83
2018-06-06 12:00:00,82.33
2018-06-06 12:15:00,73.66
2018-06-06 12:30:00,68.8
2018-06-06 12:45:00,68.36
2018-06-06 13:00:00,68.0
2018-06-06 13:15:00,67.86
2018-06-06 13:30:00,69.48
2018-06-06 13:45:00,68.65
2018-06-06 14:00:00,69.37
2018-06-06 14:15:00,68.29
2018-06-06 14:30:00,68.0
2018-06-06 14:45:00,68.0
2018-06-06 15:00:00,68.76
2018-06-06 15:15:00,68.65
2018-06-06 15:30:00,68.9
2018-06-06 15:45:00,69.12
2018-06-06 16:00:00,70.38
2018-06-06 16:15:00,69.8
2018-06-06 16:30:00,70.38
2018-06-06 16:45:00,71.1
2018-06-06 17:00:00,70.6
2018-06-06 17:15:00,71.68
2018-06-06 17:30:00,72.14
2018-06-06 17:45:00,73.08
2018-06-06 18:00:00,75.56
2018-06-06 18:15:00,75.35
2018-06-06 18:30:00,74.7
2018-06-06 18:45:00,72.79
2018-06-06 19:00:00,73.33
2018-06-06 19:15:00,73.62
2018-06-06 19:30:00,73.87
2018-06-06 19:45:00,74.95
2018-06-06 20:00:00,73.66
2018-06-06 20:15:00,74.48
2018-06-06 20:30:00,73.44
2018-06-06 20:45:00,73.69
2018-06-06 21:00:00,73.58
2018-06-06 21:15:00,72.94
2018-06-06 21:30:00,72.86
2018-06-06 21:45:00,73.01
2018-06-06 22:00:00,73.01
2018-06-06 22:15:00,72.68
2018-06-06 22:30:00,71.53
2018-06-06 22:45:00,71.17
2018-06-06 23:00:00,71.57
2018-06-06 23:15:00,72.18
2018-06-06 23:30:00,71.86
2018-06-06 23:45:00,72.76
2018-06-07 00:00:00,72.07
2018-06-07 00:15:00,70.67
2018-06-07 00:30:00,70.88
2018-06-07 00:45:00,70.99
2018-06-07 01:00:00,71.93
2018-06-07 01:15:00,72.54
2018-06-07 01:30:00,71.78
2018-06-07 01:45:00,70.6
2018-06-07 02:00:00,70.38
2018-06-07 02:15:00,69.7
2018-06-07 02:30:00,71.24
2018-06-07 02:45:00,71.17
2018-06-07 03:00:00,70.81
2018-06-07 03:15:00,70.67
2018-06-07 03:30:00,70.74
2018-06-07 03:45:00,71.5
2018-06-07 04:00:00,71.35
2018-06-07 04:15:00,69.48
2018-06-07 04:30:00,70.45
2018-06-07 04:45:00,69.88
2018-06-07 05:00:00,72.0
2018-06-07 05:15:00,72.0
2018-06-07 05:30:00,70.81
2018-06-07 05:45:00,70.09
2018-06-07 06:00:00,71.57
2018-06-07 06:15:00,71.5
2018-06-07 06:30:00,72.97
2018-06-07 06:45:00,73.12
2018-06-07 07:00:00,72.5
2018-06-07 07:15:00,71.6
2018-06-07 07:30:00,72.5
2018-06-07 07:45:00,74.81
2018-06-07 08:00:00,76.86
2018-06-07 08:15:00,77.26
2018-06-07 08:30:00,79.74
2018-06-07 08:45:00,81.61
2018-06-07 09:00:00,80.17
2018-06-07 09:15:00,80.64
2018-06-07 09:30:00,80.14
2018-06-07 09:45:00,78.73
2018-06-07 10:00:00,83.3
2018-06-07 10:15:00,84.92
2018-06-07 10:30:00,87.05
2018-06-07 10:45:00,85.9
2018-06-07 11:00:00,85.25
2018-06-07 11:15:00,85.28
2018-06-07 11:30:00,85.03
2018-06-07 11:45:00,84.64
2018-06-07 12:00:00,85.07
2018-06-07 12:15:00,85.5
2018-06-07 12:30:00,84.6
2018-06-07 12:45:00,86.11
2018-06-07 13:00:00,86.29
2018-06-07 13:15:00,85.25
2018-06-07 13:30:00,85.61
2018-06-07 13:45:00,85.03
2018-06-07 14:00:00,85.68
2018-06-07 14:15:00,84.92
2018-06-07 14:30:00,84.67
2018-06-07 14:45:00,84.78
2018-06-07 15:00:00,85.68
2018-06-07 15:15:00,87.3
2018-06-07 15:30:00,89.06
2018-06-07 15:45:00,88.24
2018-06-07 16:00:00,86.9
2018-06-07 16:15:00,86.87
2018-06-07 16:30:00,84.42
2018-06-07 16:45:00,77.08
2018-06-07 17:00:00,76.21
2018-06-07 17:15:00,76.75
2018-06-07 17:30:00,76.86
2018-06-07 17:45:00,76.18
2018-06-07 18:00:00,76.72
2018-06-07 18:15:00,77.11
2018-06-07 18:30:00,74.7
2018-06-07 18:45:00,74.48
2018-06-07 19:00:00,74.74
2018-06-07 19:15:00,74.52
2018-06-07 19:30:00,75.13
2018-06-07 19:45:00,76.25
2018-06-07 20:00:00,75.2
2018-06-07 20:15:00,74.48
2018-06-07 20:30:00,74.63
2018-06-07 20:45:00,74.27
2018-06-07 21:00:00,74.52
2018-06-07 21:15:00,74.05
2018-06-07 21:30:00,73.98
2018-06-07 21:45:00,73.84
2018-06-07 22:00:00,73.58
2018-06-07 22:15:00,73.33
2018-06-07 22:30:00,73.33
2018-06-07 22:45:00,73.15
2018-06-07 23:00:00,72.83
2018-06-07 23:15:00,72.14
2018-06-07 23:30:00,70.88
2018-06-07 23:45:00,70.74
2018-06-08 00:00:00,70.99
2018-06-08 00:15:00,70.02
2018-06-08 00:30:00,70.63
2018-06-08 00:45:00,70.16
2018-06-08 01:00:00,70.81
2018-06-08 01:15:00,70.56
2018-06-08 01:30:00,71.03
2018-06-08 01:45:00,71.53
2018-06-08 02:00:00,72.04
2018-06-08 02:15:00,70.88
2018-06-08 02:30:00,70.49
2018-06-08 02:45:00,70.02
2018-06-08 03:00:00,70.2
2018-06-08 03:15:00,69.88
2018-06-08 03:30:00,69.7
2018-06-08 03:45:00,70.34
2018-06-08 04:00:00,71.68
2018-06-08 04:15:00,71.24
2018-06-08 04:30:00,70.85
2018-06-08 04:45:00,71.5
2018-06-08 05:00:00,69.98
2018-06-08 05:15:00,69.59
2018-06-08 05:30:00,69.59
